,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay
1157,215SQM Amazing Location 1minBTS Free WIFI POOL ++,Bang Rak,13.7248,100.53024,Entire home/apt,3983,1,160,1.85,12,9,Short-Term
1174,"Ceil Ekkamai12, near Thonglor WIFI",Vadhana,13.73188,100.58629,Entire home/apt,1301,2,184,2.1,1,12,Short-Term
1188,"Free pick-up, Bangkok Sphere (Airport View)",Bang Kapi,13.76279,100.64863,Entire home/apt,2000,1,276,3.19,4,18,Short-Term
1191,"Specious Green Garden with daily services, Siam",Parthum Wan,13.7478,100.52354,Entire home/apt,5071,2,162,1.83,3,1,Short-Term
1197,Luxury Apartment near Downtown (Pick-up Service),Sathon,13.72044,100.53233,Entire home/apt,2250,1,175,1.96,8,10,Short-Term
1198,"Quiet&Clean Studio on Silom, 5 mins to skytrain.",Bang Rak,13.7261,100.53099,Entire home/apt,999,1,167,1.92,1,19,Short-Term
1204,GARDEN IN BANGKOK B&B,Bang Khen,13.85146,100.64635,Entire home/apt,1500,1,363,4.12,1,35,Short-Term
1223,Nonsmoker A/C / fast+reliable WIFI / kitchen/quiet,Bang Na,13.6832,100.61557,Private room,346,15,250,2.89,7,2,Short-Term
1261,24 HRS Front desk with Clean Double room in Siam,Parthum Wan,13.75063,100.52023,Hotel room,1310,1,179,2.06,4,22,Short-Term
1275,Spacious Apt in City of Angels,Pra Wet,13.73468,100.65949,Entire home/apt,589,1,384,4.49,2,21,Short-Term
1278,Stylish Private House in Tranquil Central Residential Area,Din Daeng,13.7774,100.56532,Entire home/apt,3800,2,330,3.87,3,44,Short-Term
1291,Stunning Loft in City of Life,Pra Wet,13.73468,100.65949,Entire home/apt,727,1,362,4.21,2,11,Short-Term
1293,Breezy Condo In The City Close Khlong Pier: I,Vadhana,13.7478,100.55743,Entire home/apt,1200,15,345,4.87,36,38,Short-Term
1319,LUX CBD 4 BEDS Suite 1MinBTS FreeWIFI+POOL 175sqm,Bang Rak,13.72452,100.53065,Entire home/apt,3983,1,198,2.32,12,18,Short-Term
1324,4Tropical Villa/Center/Dbl: Super-Close MRTLumpini,Sathon,13.72337,100.54537,Private room,1350,1,304,3.5,5,7,Short-Term
1333,"11. Big Suite 1-min walk BTS, JJ Market-SIAM, wifi",Phaya Thai,13.79481,100.54999,Entire home/apt,1422,1,225,2.61,34,35,Short-Term
1348,Room 3 - 2BRs New Relaxing Room for 4ppl ~ BTS Ari,Phaya Thai,13.77551,100.54438,Entire home/apt,2100,1,162,1.92,11,2,Short-Term
1357,"110meters BTS Wutthakat Hi-Speed Net,Pool&Gym 7-11",Chom Thong,13.71407,100.4665,Entire home/apt,750,3,191,2.25,1,19,Short-Term
1359,Air Raid Shelter 3,Phra Nakhon,13.75302,100.50452,Private room,900,1,163,2.13,3,5,Short-Term
1386,Super Deal!! 201 Cozy Stay Near BTS Ari,Phaya Thai,13.77551,100.54438,Entire home/apt,1050,1,237,2.79,11,27,Short-Term
1398,3BR-Fantastic Value-Phromphong-WiFi,Vadhana,13.73517,100.57555,Entire home/apt,1576,1,212,2.47,11,5,Short-Term
1411,"14. Suite 1-min walk BTS, JJ Market-SIAM, wifi",Phaya Thai,13.7926,100.55069,Entire home/apt,1326,1,208,2.42,34,26,Short-Term
1418,"15. Suite 1-min walk BTS, JJ Market-SIAM, wifi",Phaya Thai,13.79238,100.54916,Entire home/apt,1333,1,158,1.83,34,25,Short-Term
1422,"12. Big Suite 1-min walk BTS, JJ Market-SIAM, WIFI",Phaya Thai,13.79304,100.54897,Entire home/apt,1422,1,214,2.49,34,44,Short-Term
1445,Parkview BKK/Large Room /Balcony 3F,Ratchathewi,13.75833,100.54463,Hotel room,995,1,261,3.12,11,5,Short-Term
1456,Silom 3 apartment no. 2 (BTS Saladaeng station),Bang Rak,13.7255,100.53019,Entire home/apt,954,1,171,2.0,89,7,Short-Term
1461,Homey Condo Near BTS Ploenchit,Parthum Wan,13.74631,100.54964,Entire home/apt,1500,60,257,3.12,1,0,Long-Term
1462,The Mustang Nero/No.7 The Zebra Song,Khlong Toei,13.7115,100.59397,Hotel room,2329,1,433,5.06,10,19,Short-Term
1463,The Mustang Nero/No.8 The Lion sleeps tonight,Khlong Toei,13.71296,100.59331,Hotel room,2329,1,383,4.48,10,2,Short-Term
1469,Houseplant room 10 mins to Don Mueang Airport(DMK),Lak Si,13.86939,100.57829,Private room,800,1,121,1.77,9,2,Short-Term
1470,37 Nature House: 10 mins to DMK Int'l Airport,Lak Si,13.87145,100.58039,Entire home/apt,1039,1,533,6.22,9,18,Short-Term
1476,"2 Luxury bed room and a living room, Wifi",Bueng Kum,13.78327,100.67007,Entire home/apt,743,5,165,1.95,1,9,Short-Term
1495,"Cute home near the river , Chinatown and IconSiam.",Khlong San,13.73465,100.5036,Entire home/apt,1590,1,155,1.85,1,0,Short-Term
1499,WOW!!! Just 1min walk to BTS OnNut,Phra Khanong,13.70482,100.60292,Entire home/apt,1039,28,309,3.67,3,0,Long-Term
1500,MAMA GARDEN,Khlong San,13.72364,100.49815,Entire home/apt,1300,1,298,3.46,2,22,Short-Term
1504,Thanabhumi,Phra Nakhon,13.76176,100.50228,Private room,750,1,146,1.71,2,22,Short-Term
1505,"BaanYok, Original Shophouse  in Chinatwon",Samphanthawong,13.73972,100.51294,Entire home/apt,2300,2,331,4.01,5,36,Short-Term
1516,1MinWalkBTS ThongLo/Topfloor pool,Khlong Toei,13.72415,100.5756,Entire home/apt,1457,2,183,2.12,39,15,Short-Term
1519,2BR-City View-Great Value-BTS-WiFi,Vadhana,13.73515,100.57426,Entire home/apt,999,1,149,1.73,11,14,Short-Term
