,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay
12130,LIEW II - Stepping garden room -  4min to MRT,Bang Rak,13.73143,100.52937,Entire home/apt,1850,1,28,2.46,3,28,Short-Term
12134,Central/ Siam​ to Phaya​Thai St. ~5 min walk,Ratchathewi,13.75388,100.54146,Entire home/apt,1586,3,19,1.73,10,19,Short-Term
12144,Lovely 2BR Next to St Food&Night Life:4-5pax,Vadhana,13.74655,100.55912,Entire home/apt,2200,30,28,2.49,36,28,Long-Term
12152,2C- 2BEDROOMS ENSUITE/3BATHS BANGKOK DOWNTOWN MRT,Vadhana,13.746123,100.558868,Entire home/apt,5331,2,31,2.38,15,27,Short-Term
12162,【HEART OF BKK】5-min BTS ※ NETFLIX※ FAST WIFI※ POOL,Khlong Toei,13.73653,100.56052,Entire home/apt,2757,1,67,5.21,23,63,Short-Term
12191,"Bangkok Sooksan, Sukhumvit-Asoke 305",Khlong Toei,13.72579,100.56512,Entire home/apt,1229,1,15,1.72,15,15,Short-Term
12192,"Bangkok Sooksan, Sukhumvit-Asoke 206",Khlong Toei,13.72391,100.56568,Entire home/apt,1171,1,26,2.32,15,26,Short-Term
12193,Khaosan road - free massage 1hr,Phra Nakhon,13.754919,100.5009,Private room,893,1,23,1.84,6,21,Short-Term
12195,"Bangkok Sooksan, Sukhumvit-Asoke 310",Khlong Toei,13.72416,100.56345,Entire home/apt,1229,1,20,1.78,15,20,Short-Term
12196,"1 min walk to BTS, 3 Bed 3 Bath, Entire House",Bang Na,13.68148,100.61058,Entire home/apt,2477,1,31,3.03,4,31,Short-Term
12197,"HappyZleepy9_1 mins to Nana BTS,WiFi speed 500 Mbs",Khlong Toei,13.74129,100.55388,Entire home/apt,1591,1,49,3.95,33,46,Short-Term
12199,"HappyZleepy6_2 mins to Nana BTS,WiFi speed 500Mbs",Vadhana,13.74053,100.55627,Entire home/apt,1536,1,56,4.35,33,55,Short-Term
12200,"Comfortable studio in Bangkok, 5-min walk from BTS",Bang Na,13.66002,100.60599,Entire home/apt,1000,1,18,2.89,4,18,Short-Term
12207,TAMNI | No.303 | 1min walk to Subway,Parthum Wan,13.73839,100.517853,Private room,3528,1,24,1.93,14,22,Short-Term
12213,TAMNI | No.313 | 1min walk to Subway,Parthum Wan,13.738416,100.517868,Private room,3425,1,28,2.23,14,26,Short-Term
12215,TAMNI | No.304 | 1min walk to Subway,Parthum Wan,13.738359,100.517876,Private room,3757,1,22,2.32,14,22,Short-Term
12227,LIEW I - Zen bed - 4min to MRT,Bang Rak,13.73177,100.5295,Private room,1400,1,36,3.16,3,36,Short-Term
12229,LIEW - Sleeping terrace room - 4min to MRT,Bang Rak,13.73168,100.52948,Entire home/apt,1780,1,31,2.76,3,31,Short-Term
12236,"【ASOK STUDIO】5min BTS, POOL, WIFI, Desk, Netflix",Khlong Toei,13.73653,100.5594,Entire home/apt,2509,1,43,3.83,23,43,Short-Term
12237,"【BANGKOK 2BR】near BTS ASOK, Smart TV, Free Netflix",Khlong Toei,13.7386,100.55794,Entire home/apt,4851,1,47,4.22,23,47,Short-Term
12243,"NEW: 5min BTS Asok - 1B1B, Cozy, Spacious 1",Khlong Toei,13.734767,100.56266,Entire home/apt,2286,2,47,4.45,7,47,Short-Term
12262,5mSkytrainBTS Sukhumvit NiceCleanBed&CoffeeCafeFl1,Khlong Toei,13.71131,100.5935,Private room,757,1,26,2.24,25,26,Short-Term
12283,5mBTS in Sukhumvit DNiceCleanRoom&CoffeeCafe Fl.1.,Khlong Toei,13.71155,100.5918,Private room,850,1,24,2.18,25,24,Short-Term
12287,5mBTS in Sukhumvit DNiceCleanRoom&CoffeeCafe Fl.1B,Khlong Toei,13.71183,100.59213,Private room,1136,1,20,1.85,25,20,Short-Term
12291,★Wonderful 1BR★BTS Asok/MRT Sukhumvit★Terminal21★,Khlong Toei,13.73428,100.55832,Entire home/apt,1870,5,29,2.69,56,29,Short-Term
12294,T6 16FShopping center   pool WiFi EM park24,Khlong Toei,13.725515,100.565453,Entire home/apt,1270,1,22,1.79,39,21,Short-Term
12295,T6 15FAmazing pool CBD  wifi EM sopping BTS,Khlong Toei,13.72413,100.56568,Entire home/apt,1220,1,25,2.26,39,25,Short-Term
12306,2 Bedroom Unit minimal and homey in Thonglor,Khlong Toei,13.72329,100.57928,Entire home/apt,2886,3,25,2.77,5,25,Short-Term
12309,"Bangkok Sook-San, Sukhumvit-Asoke 203",Khlong Toei,13.72493,100.56357,Entire home/apt,1257,1,21,2.15,15,21,Short-Term
12310,"Bangkok Sook-San, Sukhumvit-Asoke 204",Khlong Toei,13.72591,100.5638,Entire home/apt,1143,1,22,2.1,15,22,Short-Term
12314,Temple View Studio in Chinatown 350 m from MRT,Samphanthawong,13.73875,100.50841,Entire home/apt,690,2,20,1.75,1,20,Short-Term
12320,"🖤COZY & ARTISTIC, 4BR, 4R, Nana BTS,10MintoSiam",Khlong Toei,13.73534,100.553993,Entire home/apt,6286,1,29,2.66,2,29,Short-Term
12322,RETROPOLITAN > Conserved Shophouse > Old Town Area,Phra Nakhon,13.75755,100.50307,Entire home/apt,2771,2,18,1.79,3,18,Short-Term
12324,2 BD - Luxury Thai Villa in Sukumvit 24,Khlong Toei,13.720816612243652,100.56604766845705,Entire home/apt,12614,365,21,3.03,3,21,Long-Term
12328,Perfect location# Pool(50F)#Gym@Sukhumvit 24(533),Khlong Toei,13.72386,100.56576,Entire home/apt,2210,2,28,2.89,35,28,Short-Term
12333,3-BTS Thong Lo free swimming pool and gym,Khlong Toei,13.71823,100.57742,Entire home/apt,1581,3,20,1.91,45,20,Short-Term
12335,6F22#Pool&BTS Nana&MRT Sukhumvit&Max2ppl,Vadhana,13.74697,100.55519,Entire home/apt,2759,1,23,2.56,49,23,Short-Term
12338,6F23#Pool&BTS Nana&MRT Sukhumvit&Max2ppl,Ratchathewi,13.74861,100.55545,Entire home/apt,3137,1,28,3.11,49,28,Short-Term
12340,"P4 - Lovely 2BR 3 Queen Beds, Family Choice, BTS!",Phaya Thai,13.79157,100.54607,Entire home/apt,2471,4,25,2.39,22,25,Short-Term
12341,6F29#Pool&BTS Nana&MRT Sukhumvit&Max2ppl,Vadhana,13.74691,100.55517,Entire home/apt,2880,1,23,2.26,49,23,Short-Term
12347,"P2 - Cozy 2BR 3 Queen Beds, Family Choice, BTS!",Phaya Thai,13.79298,100.54618,Entire home/apt,2700,4,21,2.02,22,21,Short-Term
12349,Bangkok Nest ※ 5min ASOK ※ Skypool ※ Netflix ※ LED,Khlong Toei,13.73821,100.55784,Entire home/apt,3226,1,47,4.78,23,47,Short-Term
12351,Newly renovated private bedroom at Sathron area,Sathon,13.7208,100.54914,Private room,1286,1,20,2.69,26,20,Short-Term
12353,Hap@sathron private room at Sathron area,Sathon,13.71978,100.54739,Private room,1286,1,42,4.27,26,42,Short-Term
12358,Charming 1BR Near Terminal21 Asok Rooftop Pool Gym,Khlong Toei,13.735666,100.557945,Entire home/apt,2500,2,36,3.99,48,36,Short-Term
12360,4楼曼谷市中心/两卧家庭公寓/日式风格/近bts asok /双轨交汇出行便利/靠近nana酒吧街,Khlong Toei,13.73735,100.55864,Entire home/apt,3343,2,33,3.32,29,33,Short-Term
12362,Premiere Suite 2 @ Oriental Ratchada,Din Daeng,13.77231,100.57,Entire home/apt,1499,2,3,3.0,22,3,Short-Term
12364,SO Comfy : A lovely room near Silom Center,Bang Rak,13.72442,100.51991,Entire home/apt,609,1,21,2.47,19,21,Short-Term
12365,7F37#Gym&Pool&BTS Nana&MRT Sukhumvit&Max4,Vadhana,13.74705,100.55556,Entire home/apt,5114,1,18,1.97,49,18,Short-Term
12366,Lovely Breezy Suites Next to St Food&Night Life,Vadhana,13.74656,100.55747,Entire home/apt,2100,30,26,2.64,36,26,Long-Term
12370,Penthouse w incredible city view @Sukhumvit/中文服务,Vadhana,13.74039,100.56338,Entire home/apt,5142,3,23,2.68,2,23,Short-Term
12373,TAMNI | No.312 | 1min walk to Subway,Parthum Wan,13.738421,100.517899,Private room,3163,1,27,2.72,14,27,Short-Term
12377,Family Suite 2 Bedroom in Rama 9 & Night Shopping,Din Daeng,13.755749,100.563263,Entire home/apt,2119,1,32,3.23,6,32,Short-Term
12388,3F blossom 酒店式公寓一室一厅/BTS / Wi-Fi 泳池免费/摩天輪/ 市中心,Sathon,13.709604,100.520706,Entire home/apt,971,1,20,1.97,21,20,Short-Term
12390,E7/Silom/BTS surasak/ POOL view/Asiatique/Siam,Sathon,13.709604,100.520706,Entire home/apt,1000,1,39,4.19,21,39,Short-Term
12391,"Happy Room with City skyline view, 1step to BTS",Chatu Chak,13.856102,100.584625,Entire home/apt,787,3,25,2.64,22,25,Short-Term
12393,★Beautiful 1BR★BTS Asok/MRT Sukhumvit★Terminal 21★,Khlong Toei,13.73623,100.55864,Entire home/apt,1791,5,19,1.97,56,19,Short-Term
12419,The Promenade Hotel,Khlong Toei,13.73647,100.55521,Private room,1250,1,15,2.74,2,15,Short-Term
12421,T6 12FLuxury condo are close to the BTS WiFi pool,Khlong Toei,13.724494,100.565979,Entire home/apt,1309,1,27,2.48,39,27,Short-Term
12424,Luxury condo 2 Bedroom near MRT RAMA9 & JODD FAIRS,Din Daeng,13.755749,100.563263,Entire home/apt,1976,1,71,6.7,6,71,Short-Term
12431,"NEW: 5 min BTS Asok - Studio, Stylish, Comfy (N)",Khlong Toei,13.734767,100.56266,Entire home/apt,1514,1,45,4.26,7,45,Short-Term
12435,"Noble condo-2 Bedroom Condo,Sky Pool. BTS Asok",Vadhana,13.74179,100.559,Entire home/apt,2356,1,36,4.19,1,36,Short-Term
12441,A luxury 41st floor studio in Phrom Phong,Khlong Toei,13.726286360328013,100.56618400154892,Entire home/apt,1500,1,2,2.0,1,2,Short-Term
12445,Spacious Studio Room w/Kitchenette @Phromphong BTS,Vadhana,13.72843,100.57356,Entire home/apt,1243,1,18,1.7,10,18,Short-Term
12446,SO Peaceful : A cozy room on convenient Silom road,Bang Rak,13.72481,100.52165,Entire home/apt,624,1,29,2.82,19,29,Short-Term
12447,Modern Living in Bangkok at COZ Ratchathewi,Ratchathewi,13.756,100.52825,Private room,1247,1,61,6.12,30,61,Short-Term
12451,"NEW: 5min BTS Asok - 1B1B, Cozy, Spacious 2",Khlong Toei,13.734767,100.56266,Entire home/apt,2214,2,50,4.84,7,50,Short-Term
12460,Perfect Studio - BTS Asok/MRT Sukhumvit/Terminal21,Khlong Toei,13.73679,100.55896,Entire home/apt,1743,5,17,1.77,56,17,Short-Term
12462,Perfect location# Pool(50F)#Gym@Sukhumvit 24(1066),Khlong Toei,13.72538,100.56401,Entire home/apt,2183,2,34,3.49,35,34,Short-Term
12464,Perfect location# Pool(50F)#Gym@Sukhumvit 24(1108),Khlong Toei,13.72559,100.56591,Entire home/apt,2065,2,22,2.28,35,22,Short-Term
12466,Perfect location# Pool(50F)#Gym@Sukhumvit 24(1156),Khlong Toei,13.72394,100.56428,Entire home/apt,2210,2,17,1.92,35,17,Short-Term
12473,Charming Apt Near Terminal21 Asok Rooftop Pool Gym,Khlong Toei,13.73677,100.55912,Entire home/apt,2000,2,26,2.86,48,26,Short-Term
12474,Charming Apt Near Terminal21 Asok Rooftop Pool Gym,Khlong Toei,13.73461,100.55854,Entire home/apt,2000,2,26,2.86,48,26,Short-Term
12475,THE CLOUD SKY RAMA9 : 1BR WIFI/POOL/RCA,Huai Khwang,13.75544,100.57432,Entire home/apt,1357,2,16,2.03,25,16,Short-Term
12476,Lovely 1-Bedroom unit (203) near BTS Thonglor,Vadhana,13.72311,100.58067,Entire home/apt,2607,3,30,3.13,5,30,Short-Term
12489,★Lovely 1BR★BTS Asok/MRT Sukhumvit★Terminal 21★,Khlong Toei,13.73603,100.55856,Entire home/apt,1854,5,19,2.01,56,19,Short-Term
12503,City Bangkok | Queen Bed |Gym|Pool Wifi | 1BR,Vadhana,13.73674,100.56191,Entire home/apt,2335,5,10,2.11,14,10,Short-Term
12508,Luxury 1BR at Nana Infinity Pool Gym★Free Pickup★,Ratchathewi,13.74857,100.55733,Entire home/apt,2103,1,33,4.06,2,33,Short-Term
12512,"10 mins from DMK Airport, private bedroom",Lak Si,13.87855,100.58563,Entire home/apt,520,13,13,1.73,1,13,Short-Term
12513,HPZP_214_Ploenchit&Nana BTS/roof pool/48sqm/500Wfi,Khlong Toei,13.739745,100.551865,Entire home/apt,1544,1,22,2.6,33,22,Short-Term
12526,Townhouse/ 5mins to terminal BKKairport/ max 5,Lat Krabang,13.72097,100.745193,Entire home/apt,3543,1,17,1.9,1,17,Short-Term
12527,"2Bed2Bath, Comfy Condo Near Ari & Sanampao BTS",Phaya Thai,13.77666,100.54399,Entire home/apt,2007,4,18,2.13,1,18,Short-Term
12532,Lovely Nest ☆ near Asoke BTS ☆ Smart TV ☆ Skypool,Khlong Toei,13.73671,100.55977,Entire home/apt,2929,1,36,4.46,23,36,Short-Term
12534,코리아타운5분거리/중심가/저렴한가격/넷플릭스시청가능,Khlong Toei,13.73587,100.55732,Entire home/apt,1176,3,4,2.03,1,4,Short-Term
12535,Comfy all in one studio Thonglor,Vadhana,13.7263,100.58114,Entire home/apt,2000,3,27,3.25,5,27,Short-Term
12539,11-曼谷市中心豪华温泉酒店公寓 bts thonglo 本地小吃市场免费泳池 健身房,Khlong Toei,13.71658,100.57515,Entire home/apt,1581,7,14,1.69,45,14,Short-Term
12548,Private suite room walking distance skytrain BTS,Suanluang,13.70803,100.60799,Entire home/apt,780,1,23,3.05,11,23,Short-Term
12549,Kru Nat's Bed & Breakfast w/ Private Rooms & Gym,Chatu Chak,13.81278,100.580025,Private room,450,1,17,2.1,1,17,Short-Term
12550,整套公寓：LOFT/silom/ 曼谷市中心/ BTS 直达暹罗广场/ 自助入住/泳池免费,Sathon,13.70879,100.52186,Entire home/apt,1331,1,19,2.53,21,19,Short-Term
12559,"曼谷市中心豪华高档公寓, near bts Sukhumvit , free pick up中文",Khlong Toei,13.73625,100.56026,Entire home/apt,3114,1,25,2.99,12,25,Short-Term
12575,Luxury 1 Bed+Skypool/ 500m walk to BTS Phrompong/,Khlong Toei,13.724517,100.565033,Entire home/apt,1036,1,41,4.57,12,41,Short-Term
12577,Spacious Newly Renovated 3BDR/6pax Soi 11 BTS NANA,Vadhana,13.74446964263916,100.55691528320312,Entire home/apt,7214,1,27,2.85,8,27,Short-Term
12585,New spacious 2BR 3PPL with pool&gym Silom &Sathorn,Bang Rak,13.73366,100.52576,Entire home/apt,1832,1,15,1.71,228,15,Short-Term
12588,Lovely 3 bedrooms apartment city center,Bang Rak,13.72532,100.5314,Entire home/apt,4000,1,17,2.05,10,17,Short-Term
12590,"NEW: 5 min BTS Asok - Studio, Stylish, Comfy (D)",Khlong Toei,13.734767,100.56266,Entire home/apt,1600,1,44,5.14,7,44,Short-Term
12591,6F28#Pool&BTS Nana&MRT Sukhumvit&Max2ppl,Vadhana,13.74685,100.55682,Entire home/apt,3002,1,25,3.33,49,25,Short-Term
12592,"NEW: 5min BTS Asok - 1B1B, Cozy, Spacious 3",Khlong Toei,13.73427,100.56352,Entire home/apt,2507,2,39,5.13,7,39,Short-Term
12593,A new minimalist stay in Creative Space Siam 421-3,Ratchathewi,13.751654,100.526443,Entire home/apt,2893,1,11,2.21,9,11,Short-Term
12599,New spacious 2BR 3PPL with pool&gym Silom &Sathorn,Bang Rak,13.73282,100.52422,Entire home/apt,1832,1,16,1.89,228,16,Short-Term
12606,Lux New Renovated Suite 3BR/6Pax Nightlife Soi 11,Vadhana,13.744698524475098,100.55663299560548,Entire home/apt,7214,1,37,4.13,8,37,Short-Term
12609,1BR! !Near The Grand Palace/ASOK Station/Sukhumvit,Khlong Toei,13.7375,100.55725,Entire home/apt,2500,1,18,2.13,99,18,Short-Term
12625,Viva la vida Hotel#4ppl#Huai Khwang MRT#Downtown,Huai Khwang,13.77365,100.57741,Private room,1962,1,29,3.26,35,29,Short-Term
12635,"【NEW! 2-bedrooms】 5min BTS Asok, Skypool, Netflix",Khlong Toei,13.73792,100.55768,Entire home/apt,5429,1,44,5.12,23,44,Short-Term
12643,"S3 (B)- Cozy Room 4 Guests, Heart of Bangkok, BTS!",Sathon,13.72014,100.52957,Entire home/apt,1914,4,19,2.15,22,19,Short-Term
12644,A2/温馨公寓/大床房/ 城市景观/silom/ 曼谷市中心/ 泳池免费/免费健身房/,Sathon,13.70979,100.51881,Entire home/apt,971,1,19,2.5,21,19,Short-Term
12645,6F/Silom/ 曼谷市中心超值公寓/大床房/可做饭/ BTS/ 泳池免费,Sathon,13.71014,100.52173,Entire home/apt,1057,1,26,3.45,21,26,Short-Term
12652,Perfect location# Pool(50F)#Gym@Sukhumvit 24(601),Khlong Toei,13.72352,100.56616,Entire home/apt,2183,2,20,2.47,35,20,Short-Term
12657,MK House,Khlong Toei,13.715897,100.57486,Private room,1458,1,27,3.31,2,27,Short-Term
12660,New spacious 2BR 3PPL with pool&gym Silom &Sathorn,Bang Rak,13.7319,100.52425,Entire home/apt,1832,1,14,1.71,99,14,Short-Term
12661,1bedroom/skypool/cityview/luxtury Life rama9 condo,Din Daeng,13.7556,100.56435,Entire home/apt,1860,80,20,2.34,28,20,Long-Term
12665,Breezy Condo Next To St Food&Night Life: XIV,Vadhana,13.7466,100.55704,Entire home/apt,1500,30,19,2.26,36,19,Long-Term
12679,Perfect location# Pool(50F)#Gym@Sukhumvit 24(602),Khlong Toei,13.72364,100.56394,Entire home/apt,2210,2,17,2.37,35,17,Short-Term
12680,Perfect location# Pool(50F)#Gym@Sukhumvit 24(1049),Khlong Toei,13.72386,100.56601,Entire home/apt,2197,2,20,2.45,35,20,Short-Term
12681,2BR! Perfect location# Pool(50F)#Gym@Sukhumvit 24,Khlong Toei,13.72379,100.5656,Entire home/apt,4973,2,26,3.1,35,26,Short-Term
12682,Perfect location# Pool(50F)#Gym@Sukhumvit 24(556),Khlong Toei,13.72402,100.56652,Entire home/apt,2090,2,24,2.76,49,24,Short-Term
12683,Perfect location# Pool(50F)#Gym@Sukhumvit 24(557),Khlong Toei,13.72522,100.56598,Entire home/apt,2090,2,30,3.78,49,30,Short-Term
12688,"1BR in heart of BKK, 5minBTS,5min Airportlink.",Ratchathewi,13.75076,100.53948,Entire home/apt,1760,2,23,2.49,10,23,Short-Term
12690,c3 曼谷市中心一卧室公寓/免费泳池/terminal21 / BTS ASok/MRT,Khlong Toei,13.73512,100.557,Entire home/apt,1586,1,25,3.73,21,25,Short-Term
12691,SUPER COSY ※ 5min ASOK ※ Netflix ※ SkyPool ※ WIFI,Khlong Toei,13.73708,100.55902,Entire home/apt,2309,1,38,4.33,23,38,Short-Term
12695,Charming 2BR/2Bath  Near Terminal 21 Asok Pool Gym,Khlong Toei,13.73507,100.55724,Entire home/apt,3500,2,19,2.37,48,19,Short-Term
12706,SukhumvitNearBTS@Checkin24h+BigPool-Gym_FastWifi,Khlong Toei,13.71856,100.57515,Entire home/apt,1330,3,13,1.7,8,13,Short-Term
12713,The anonymous Bangkok apartment,Vadhana,13.74683,100.55556,Entire home/apt,2466,2,35,4.41,9,35,Short-Term
12719,2BR！New! Near The Grand Palace/ASOK Station/4PPL,Khlong Toei,13.7363,100.55902,Entire home/apt,4700,1,18,2.12,228,18,Short-Term
12727,2BR@Asok&Sukhumvit#Near Terminal 21&Nana(10),Khlong Toei,13.73561,100.55932,Entire home/apt,4197,1,29,3.48,24,29,Short-Term
12730,"NEW: 5 min BTS Asok - Duplex, Comfy, Trendy 4",Khlong Toei,13.73401,100.56321,Entire home/apt,1000,2,23,3.33,7,23,Short-Term
12736,"3 Bedrooms, 1 Living High Privacy Condo + Big Pool",Huai Khwang,13.76102,100.56888,Entire home/apt,2375,2,23,3.61,3,23,Short-Term
12746,City View 1BR at Terminal21 Asok BTS Free Pick Up,Vadhana,13.7393,100.56073,Entire home/apt,2100,2,30,3.95,2,30,Short-Term
12753,步行3分钟即到temina21 ，asok high quality two beds room,Vadhana,13.73361,100.56685,Private room,1986,3,5,1.69,15,5,Short-Term
12761,Artist Loft with Stunning River View in Old Town,Bang Rak,13.72135,100.51616,Entire home/apt,3843,2,44,8.1,8,44,Short-Term
12766,Perfect location# Pool#Gym#near Park#MRT QSNCC(106,Khlong Toei,13.72246,100.56001,Entire home/apt,3109,2,33,4.5,35,33,Short-Term
12773,Silom Room WIFI with pool close to BTS Chong Nonsi,Bang Rak,13.724899,100.529282,Entire home/apt,1400,5,19,2.71,3,19,Short-Term
12776,3 Bed/2 Bath Stylish Suite in City Center,Ratchathewi,13.7528,100.5363,Entire home/apt,6924,1,22,3.01,9,22,Short-Term
12780,12F86#Pool&BTS Nana&MRT Sukhumvit&Max2ppl,Vadhana,13.745,100.5569,Entire home/apt,3266,1,19,4.35,35,19,Short-Term
12782,Next to BTS-Udomsuk/Near Street Food/Rooftop pool,Bang Na,13.67968,100.60983,Entire home/apt,770,6,18,2.76,2,18,Short-Term
12793,Cozy 2BR Next to St Food&Night Life: BTS Nana,Vadhana,13.7463,100.55719,Entire home/apt,2100,30,14,1.9,36,14,Long-Term
12794,"high floor 1 bedroom, near rama9 central plaza，mrt",Ratchathewi,13.75465,100.56415,Entire home/apt,1791,7,13,1.89,44,13,Short-Term
12803,"【Chill @BTS Asok】Skypool, Free Netflix, Smart TV",Khlong Toei,13.73822,100.55757,Entire home/apt,2720,1,36,4.48,23,36,Short-Term
12808,Bangkok District. New Airbnb listing by Air3nity,Bang Rak,13.72587,100.52974,Entire home/apt,3587,1,17,2.41,6,17,Short-Term
12812,Balcony unit in an artist space near Siam 131-3,Ratchathewi,13.751275,100.526131,Entire home/apt,3374,1,8,2.7,9,8,Short-Term
12815,tiny home in a peaceful garden,Bangkok Noi,13.75213,100.47142,Entire home/apt,700,2,7,1.69,4,7,Short-Term
12818,Siam BTS-Balcony unit in an artist space 431-3,Ratchathewi,13.751485,100.526154,Entire home/apt,3199,1,13,2.27,9,13,Short-Term
12821,45层高空花园健身房双泳池桑拿豪华公寓1＋市中双轨BTSMRT＋Asok NanaSoicowboy,Vadhana,13.74022,100.55952,Entire home/apt,1800,1,42,5.25,13,42,Short-Term
12836,Local生活便利-高层池景房•市区•BTS@ONNUT•可做饭•近莲花超市夜市B#724,Phra Khanong,13.69351,100.60566,Entire home/apt,1250,1,13,4.33,48,13,Short-Term
12837,Local生活便利-高层BTS view•市区•BTS@ONNUT•可做饭•近莲花超市夜市B#924,Phra Khanong,13.69554,100.6075,Entire home/apt,1065,1,10,2.11,48,10,Short-Term
12841,Breezy Condo Next To St Food&Night Life: XV,Vadhana,13.74613,100.55755,Entire home/apt,1200,30,15,1.87,36,15,Long-Term
12848,Spacious Designer Apartment in Bangkok,Vadhana,13.740368,100.585083,Private room,1912,2,14,1.84,2,14,Short-Term
12851,曼谷市中心豪华高端公寓Luxury condo near bts mrt free pickup中文,Khlong Toei,13.73594,100.56004,Entire home/apt,2343,1,15,2.14,12,15,Short-Term
12856,rama9精品一居室/中文接待/无边泳池/中国大使馆/central rama9/新火车夜市,Ratchathewi,13.75478,100.56435,Entire home/apt,1791,7,13,1.88,33,13,Short-Term
12870,One Bedroom Suite in Silom near BTS/ MRT Silom,Bang Rak,13.728936,100.536118,Private room,2300,1,20,3.03,18,20,Short-Term
12880,Breezy Condo Next To St Food&Night Life: XVI,Vadhana,13.74704,100.5594,Entire home/apt,1200,30,13,1.79,36,13,Long-Term
12895,7min airport/free pickup/steps to malls/pool&gym,Lat Krabang,13.720327337969437,100.73374311253204,Entire home/apt,1122,1,60,11.04,2,60,Short-Term
12897,Large 4 Bedroom private pool villa ThonglorEkkamai,Vadhana,13.727844,100.591187,Entire home/apt,7977,1,45,6.0,1,45,Short-Term
12901,Two Bedroom Suites with Bath Tub,Bang Rak,13.728936,100.536118,Private room,7429,1,10,2.07,18,10,Short-Term
12905,"1 br front of MRT, 1 stop to Grand Palace Bangkok",Bangkok Yai,13.7384,100.48383,Entire home/apt,1450,3,18,2.55,1,18,Short-Term
12923,Luxury Loft Near BTS MRT Mall. Gym Pool Sauna WiFi,Vadhana,13.739385,100.561234,Entire home/apt,2424,1,26,3.77,5,26,Short-Term
12926,2-bts thong lo 80m  Free swimming pool gym WiFi,Khlong Toei,13.722545,100.576973,Entire home/apt,1745,3,25,3.57,45,25,Short-Term
12947,Opal House@BTS Bangwa Station Chic Double Floors,Phasi Charoen,13.71492,100.45348,Entire home/apt,1134,3,16,2.5,15,16,Short-Term
12951,BTS Nana/Night Life/Sukhumvit 11/ Pool /No-Window,Vadhana,13.745172,100.557495,Private room,2243,1,19,2.73,9,19,Short-Term
12953,Suite room - Sukhumvit 81 BTS ONNUT - GP House,Suanluang,13.7091748,100.6069796,Entire home/apt,780,1,21,2.99,11,21,Short-Term
12955,"2 King  beds❤️Netflix, BTS Asok Sukhumvit",Khlong Toei,13.73698,100.55898,Entire home/apt,1780,1,40,5.74,19,40,Short-Term
12971,7th曼谷中心温馨舒适一房公寓/near terminal 21/双轨交汇/,Khlong Toei,13.7377,100.55848,Entire home/apt,1829,2,20,2.76,29,20,Short-Term
12975,近地铁轻轨21航站楼luxury condo near terminal21 free pickup,Vadhana,13.73761,100.5621,Entire home/apt,2386,1,12,1.87,12,12,Short-Term
12976,City View 1BR at Terminal21 Asok BTS Free Pickup,Vadhana,13.7394,100.56156,Entire home/apt,2100,2,21,3.04,48,21,Short-Term
12979,Brand New Studio Near MRT Sirikit (7),Khlong Toei,13.73133,100.56208,Private room,1414,1,17,2.59,24,17,Short-Term
12981,[31.2 sq.m]Stylish room in Ratchada/ Walk to Train,Huai Khwang,13.779915523305863,100.57427604232788,Entire home/apt,1330,1,11,1.86,3,11,Short-Term
12984,拉差达3巷中国大使馆650m一居,Din Daeng,13.7657,100.56101,Entire home/apt,2714,1,13,2.17,28,13,Short-Term
12988,NearBts_Citycenter_FastWiFi_Gym_BigPool@Checkin24h,Khlong Toei,13.71761,100.57621,Entire home/apt,1654,3,13,2.18,8,13,Short-Term
12989,【Near Skytrain Asok & Nana】Netflix ※ Fiber ※ 4 pax,Khlong Toei,13.73609,100.56073,Entire home/apt,2183,1,33,5.16,23,33,Short-Term
13006,Brand New Studio Near MRT Sirikit (3),Khlong Toei,13.73117,100.56156,Private room,1414,1,19,3.18,24,19,Short-Term
13016,花逢公寓单间有泳池靠近地铁,Sathon,13.70727,100.51758,Entire home/apt,1113,1,14,2.41,29,14,Short-Term
13019,Japanese Town Thong Lor BTS 2BR/2Bath✦Free Pickup✦,Khlong Toei,13.72237,100.57807,Entire home/apt,3569,2,16,2.53,48,16,Short-Term
13021,Sukhumvit 1-bedroom apartment GP House - COZY,Suanluang,13.70872,100.60579,Entire home/apt,650,1,37,5.58,11,37,Short-Term
13022,★Charming 2BR Retreat★BTS ASOK★Terminal 21★,Khlong Toei,13.73587,100.55867,Entire home/apt,3819,5,24,3.62,56,24,Short-Term
13027,City View 1BR at Terminal21 Asok BTS Free Pickup,Vadhana,13.73932,100.5619,Entire home/apt,2100,2,12,2.09,48,12,Short-Term
13028,17F134#Pool&BTS Nana&MRT Sukhumvit&Max2ppl,Vadhana,13.74525,100.55466,Entire home/apt,2992,1,20,3.03,49,20,Short-Term
13029,17F135#Pool&BTS Nana&MRT Sukhumvit&Max2ppl,Ratchathewi,13.74872,100.55513,Entire home/apt,3022,1,15,2.34,49,15,Short-Term
13030,Perfect location# Pool(50F)#Gym@Sukhumvit 24(845),Khlong Toei,13.72346,100.56439,Entire home/apt,2423,2,22,3.38,35,22,Short-Term
13033,复式公寓整体出租！温馨舒适,Sathon,13.71323,100.52139,Entire home/apt,1429,1,9,1.72,29,9,Short-Term
