,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay,popularity
11774,"Cozy local City home, easy to commute",Phasi Charoen,13.72468,100.4595,Private room,600,1,0,0.0,1,0,Short-Term,not_popular
11775,Large bedroom apartment sukhumvit walkdistance BTS,Suanluang,13.71018,100.60593,Private room,650,1,10,2.33,11,10,Short-Term,popular
11776,Ladprao Studio Deluxe - 38 sqm,Wang Thong Lang,13.79431,100.59493,Private room,516,30,1,0.08,20,0,Long-Term,not_popular
11777,Ladprao Suite - 38 sqm,Wang Thong Lang,13.79289,100.59493,Private room,527,30,2,0.15,20,1,Long-Term,not_popular
11778,Nara Suite Residence Deluxe 404,Yan na wa,13.699941,100.534241,Private room,850,1,0,0.0,25,0,Short-Term,not_popular
11779,Ladprao Suite - 38 sqm,Wang Thong Lang,13.78984,100.59879,Private room,583,30,0,0.0,20,0,Long-Term,not_popular
11780,เจมส์เพลส,Bang Phlat,13.78772,100.49721,Private room,500,1,0,0.0,1,0,Short-Term,not_popular
11781,Nara Suite Residence Deluxe ★504★,Yan na wa,13.70071,100.53523,Private room,1190,1,1,0.35,25,1,Short-Term,not_popular
11782,曼谷舒适度假公寓两房二卫7,Bang Phlat,13.798528,100.504913,Entire home/apt,850,30,0,0.0,11,0,Long-Term,not_popular
11783,"19 fl, 1 Bed+1Bath, Bang Yi Khan MRT station-1905",Bang Phlat,13.77828,100.48708,Entire home/apt,990,20,9,0.65,7,7,Short-Term,not_popular
11784,Nara Suite Residence ★602★,Yan na wa,13.70088,100.53344,Private room,1090,1,0,0.0,25,0,Short-Term,not_popular
11785,"Long-term stay, 109sq.m Spacious 2BR, Ekamai BTS",Vadhana,13.72524,100.58329,Entire home/apt,2000,30,3,0.28,8,3,Long-Term,not_popular
11786,Nara Suite Residence ★506★,Yan na wa,13.69962,100.53331,Private room,1090,1,0,0.0,25,0,Short-Term,not_popular
11787,Brand New! 1 bed apartment at Phra Khnong,Vadhana,13.71379,100.59914,Entire home/apt,829,4,25,1.83,4,23,Short-Term,popular
11788,Nara Suite Residence ★606★,Yan na wa,13.69875,100.53365,Private room,1090,1,0,0.0,25,0,Short-Term,not_popular
11789,Nara Suite Residence ★401A★,Yan na wa,13.70019,100.5332,Private room,1090,1,0,0.0,25,0,Short-Term,not_popular
11790,Nara Suite Residence ★406A★,Yan na wa,13.70081,100.5336,Private room,1090,1,0,0.0,25,0,Short-Term,not_popular
11791,Nara Suite Residence ★501A★,Yan na wa,13.69888,100.53345,Private room,1090,1,0,0.0,25,0,Short-Term,not_popular
11792,Siamese Exclusive 42-1BR Duplex near BTS Ekkamai,Khlong Toei,13.717441,100.585014,Entire home/apt,6739,1,37,2.38,7,32,Short-Term,popular
11793,Cozy Condo with Pool/Gym 5min walk BTS Phrakanong,Khlong Toei,13.71043,100.5936,Entire home/apt,1143,3,7,0.5,2,5,Short-Term,not_popular
11794,Siamese Exclusive 42-1BR near BTS/Gateway Ekkamai,Khlong Toei,13.710418,100.583771,Entire home/apt,6405,1,18,1.41,7,14,Short-Term,not_popular
11795,คอนโดสุขุมวิท 26 0854458550ราคาเช่า20000 บาทต่อเดือน,Khlong Toei,13.72462,100.57002,Private room,20000,1,0,0.0,1,0,Short-Term,not_popular
11796,A designer's house in Sukhumvit,Phra Khanong,13.699337005615234,100.609130859375,Entire home/apt,3225,1,3,3.0,1,3,Short-Term,popular
11797,คอนโดใหม่ วิวสวยใกล้ bts ห้าแยกลาดพร้าว และ Mrt,Chatu Chak,13.81159,100.55907,Entire home/apt,20000,365,0,0.0,2,0,Long-Term,not_popular
11798,คอนโดใหม่ วิวสวยใกล้ bts/mrt 2สระว่ายน้ำ/2 ฟิตเนส,Chatu Chak,13.81312,100.55911,Entire home/apt,700,180,0,0.0,2,0,Long-Term,not_popular
11799,Balcony Studio 8mins to ekKamai BTS,Khlong Toei,13.71244,100.58596,Entire home/apt,1126,1,3,0.34,6,3,Short-Term,not_popular
11800,วริษา​เพลส อพาร์​ท​เม้นท์​,Lak Si,13.87143,100.55531,Private room,480,1,0,0.0,5,0,Short-Term,not_popular
11801,วริษาเพลส อพาร์ตเมนต์,Lak Si,13.87061,100.55684,Private room,480,1,0,0.0,5,0,Short-Term,not_popular
11802,วริษา​เพลส อพาร์​ท​เม้นต์​,Lak Si,13.86951,100.55718,Private room,480,1,0,0.0,5,0,Short-Term,not_popular
11803,Cozy Studio large balcony 8mins to Ekkamai BTS,Khlong Toei,13.7128,100.58598,Entire home/apt,1000,1,14,1.14,6,13,Short-Term,not_popular
11804,วริษาเพลส อพาร์ตเมนต์,Lak Si,13.86986,100.55712,Private room,480,1,0,0.0,5,0,Short-Term,not_popular
11805,Private Plunge Pool Villa 4 BR for Dinner Party!,Suanluang,13.71241,100.63539,Private room,17286,1,1,0.12,31,1,Short-Term,not_popular
11806,Weekly・Monthly! 110m2~3BR!Sukhumv#Near Terminal 21,Khlong Toei,13.73566,100.55855,Entire home/apt,8691,1,26,1.64,24,23,Short-Term,not_popular
11807,Private Plunge Pool Villa 2BR for Family Onnut BTS,Suanluang,13.70876,100.61283,Private room,17143,1,0,0.0,31,0,Short-Term,not_popular
11808,Weekly・7F100m2~!2BR Asok&Sukhumvit#3Beds,Khlong Toei,13.73515,100.55687,Entire home/apt,7545,1,30,1.9,24,27,Short-Term,popular
11809,Comfy Condo with Pool/Gym 5min walk BTS Phrakanong,Khlong Toei,13.71212,100.59272,Entire home/apt,1200,3,3,0.22,2,2,Short-Term,not_popular
11810,Monthly!2BR@Asok&Sukhumvit#Near Terminal 21#Max6,Khlong Toei,13.73705,100.55736,Entire home/apt,5277,1,48,3.14,24,43,Short-Term,popular
11811,Brand-New Chic 1BR XT Ekkamai @ Ekkamai BTS,Vadhana,13.73281,100.58619,Entire home/apt,850,28,1,0.53,22,1,Long-Term,not_popular
11812,Cozy 2 Airs : 1 BR Sukhumvit 64/BTS/BIGGEST POOL,Phra Khanong,13.68779,100.60699,Entire home/apt,750,60,0,0.0,32,0,Long-Term,not_popular
11813,"Laviq 57 Luxury modern,Prime Location Thonglor",Vadhana,13.72535,100.57938,Private room,1400,365,0,0.0,3,0,Long-Term,not_popular
11814,Rungsima Village,Lat Krabang,13.766756,100.73175,Private room,600,1,4,0.26,1,3,Short-Term,not_popular
11815,"Rhythm Sukhumvit 50 Condo
35 Sq.m
Fully furnished",Khlong Toei,13.70553,100.59955,Entire home/apt,1250,30,3,0.43,1,3,Long-Term,not_popular
11816,SurfBokk,Bang Na,13.6783,100.61316,Private room,2800,1,11,0.8,1,6,Short-Term,not_popular
11817,Monthly・CENTRAL+2 beds@BTS Asok&MRT SUKHUMVIT(09),Khlong Toei,13.73577,100.55739,Entire home/apt,3588,1,25,1.74,24,23,Short-Term,popular
11818,Lovely and central 1 br @ Sukhumvit BTS Nana,Khlong Toei,13.73874,100.55286,Entire home/apt,800,2,21,2.57,1,21,Short-Term,popular
11819,Kallaya Garden BR2,Bang Na,13.6691,100.63383,Private room,880,1,1,0.07,32,0,Short-Term,not_popular
11820,Kallaya Garden BR1,Bang Na,13.672622193271572,100.62379444741548,Private room,880,1,0,0.0,32,0,Short-Term,not_popular
11821,Kallaya Garden BR3,Bang Na,13.67202,100.62278,Private room,800,1,0,0.0,32,0,Short-Term,not_popular
11822,Kallaya Garden BR4,Bang Na,13.66867,100.63413,Private room,1200,1,0,0.0,32,0,Short-Term,not_popular
11823,Live like a local at Bangkok old town,Bangkok Yai,13.74193,100.48536,Entire home/apt,3800,1,1,0.07,5,0,Short-Term,not_popular
11824,Local生活便利-家庭房-两卧•市区•BTS@ONNUT•可做饭•近莲花超市夜市B#17,Vadhana,13.70706,100.6016,Entire home/apt,2800,1,12,1.08,48,12,Short-Term,not_popular
11825,Focus Ploenchit - Nearby Skytrain & best location,Parthum Wan,13.73888,100.55083,Private room,835,365,0,0.0,3,0,Long-Term,not_popular
11826,Deluxe Twin Beds Room,Ratchathewi,13.75743,100.52502,Private room,1300,1,26,1.89,4,24,Short-Term,popular
11827,Deluxe Double Room with Shower (Photohostel),Samphanthawong,13.734597,100.511917,Private room,1275,1,0,0.0,2,0,Short-Term,not_popular
11828,1-bedroom Rich Park @Triple Station,Suanluang,13.7377,100.64201,Entire home/apt,800,1,11,1.72,1,11,Short-Term,popular
11829,Beautiful 5 Story Family House,Khlong Toei,13.715791,100.587837,Entire home/apt,5000,2,14,0.99,4,13,Short-Term,not_popular
11830,"Cozy 2-bedroom condo on the top-floor, corner-unit",Phra Khanong,13.68513,100.59724,Entire home/apt,600,30,0,0.0,1,0,Long-Term,not_popular
11831,Muji House,Lat Phrao,13.80872,100.60234,Entire home/apt,9957,1,6,1.09,5,6,Short-Term,not_popular
11832,ASOK 2B2BApt.Bangkok Sukhumvit BTS/MRT Emquartier,Vadhana,13.73808,100.56761,Entire home/apt,5000,2,3,0.31,37,3,Short-Term,not_popular
11833,Big One bedroom apartment near the airport,Bang Na,13.66322,100.65186,Entire home/apt,1212,1,1,1.0,13,1,Short-Term,not_popular
11834,7F34#Monthly#Pool&BTS Nana&MRT Sukhumvit&Max4ppl,Khlong Toei,13.74085,100.55492,Entire home/apt,3909,1,32,2.83,49,32,Short-Term,popular
11835,Designer Loft with Stunning RiverView Free Pick-Up,Bang Rak,13.72068,100.51736,Entire home/apt,16843,2,40,2.6,8,35,Short-Term,popular
11836,1 Bedroom Duplex Kingbed @ Q-Box Bangkok Blossom,Khan Na Yao,13.81792,100.67777,Private room,1666,1,1,0.07,4,0,Short-Term,not_popular
11837,Homey 1BR w/ garden/pool view close to Udomsuk BTS,Bang Na,13.68141,100.60757,Entire home/apt,930,60,2,0.2,1,2,Long-Term,not_popular
11838,1 bedroom 1 living room 1 bathroom and kitchen,Huai Khwang,13.75402,100.58333,Private room,2000,1,0,0.0,1,0,Short-Term,not_popular
11839,2 BedR+2Bath spacious living room in Sukumvit26,Khlong Toei,13.72699,100.56995,Entire home/apt,2090,20,3,0.3,7,3,Short-Term,not_popular
11840,湄南河畔度假公寓 33,Bang Phlat,13.798528,100.504913,Entire home/apt,480,30,0,0.0,11,0,Long-Term,not_popular
11841,"Entire detached home, 3 bed, 3 story, free parking",Bang Na,13.660066,100.634964,Entire home/apt,1800,1,11,0.93,1,11,Short-Term,not_popular
11842,"2 bedroom condo with pool, 5mn to MRTA station.",Huai Khwang,13.75407,100.58457,Entire home/apt,950,5,0,0.0,1,0,Short-Term,not_popular
11843,"1BR at Noble Recole , BTS Asoke by Nestcovery 中文服務",Vadhana,13.74183,100.55947,Entire home/apt,995,30,1,0.57,9,1,Long-Term,not_popular
11844,Stay with Style @ MANGO BALCONY,Din Daeng,13.77712,100.56582,Entire home/apt,4201,2,24,1.7,3,21,Short-Term,popular
11845,KHUN by YOO inspired by Starck - Thonglor,Vadhana,13.73405,100.58332,Private room,1835,365,0,0.0,3,0,Long-Term,not_popular
11846,"中央豪庭 15 sukhumvit residences,BTS：Nana,Asok,(456)",Vadhana,13.74318,100.55778,Entire home/apt,1099,180,0,0.0,40,0,Long-Term,not_popular
11847,1ห้องนอนDuplex เตียงใหญ่ @ Q-Box Bangkok Blossom,Khan Na Yao,13.81987,100.66186,Private room,1546,1,1,0.06,4,0,Short-Term,not_popular
11848,Instyle Icon by G Living 3BR Duplex in Thonglor!,Khlong Toei,13.72782,100.57099,Entire home/apt,4200,180,0,0.0,32,0,Long-Term,not_popular
11849,เดินทางสะดวกทั้งทางบก และทางน้ำ @Bangpho 近新东南亚交通枢纽,Dusit,13.79967,100.5199,Private room,480,30,2,0.17,3,2,Long-Term,not_popular
11850,Siamese Exclusive Queens-Twin 58 SQM/5min walk MRT,Khlong Toei,13.72617,100.561928,Entire home/apt,6492,1,128,8.14,7,118,Short-Term,popular
11851,Siamese Exclusive Queens-2BR 77 SQM/5 min walk MRT,Khlong Toei,13.723146,100.55954,Entire home/apt,9286,1,87,5.1,7,80,Short-Term,popular
11852,Green place,Sai Mai,13.90406,100.623,Private room,500,1,0,0.0,11,0,Short-Term,not_popular
11853,BTS ChidLom★Shoping Malls★Jetanin Hospital★Central,Parthum Wan,13.74693,100.54481,Entire home/apt,4000,28,5,0.41,13,5,Long-Term,not_popular
11854,หอพักบ้านศิริพร,Bang Khen,13.87249,100.58993,Private room,400,1,0,0.0,1,0,Short-Term,not_popular
11855,Ok House,Bang Phlat,13.79912,100.50575,Entire home/apt,537,30,2,0.26,5,2,Long-Term,not_popular
11856,❤逛街方便❤曼谷市中心Asok站旁※近T21商场※无边泳池※韩国城※可做饭-182,Khlong Toei,13.73563,100.55929,Entire home/apt,3500,1,8,0.8,48,8,Short-Term,not_popular
11857,逛街方便-曼谷市中心Asok站旁※近T21商场※无边泳池※韩国城※可做饭-182,Khlong Toei,13.73758,100.55887,Entire home/apt,3500,1,4,0.76,48,4,Short-Term,not_popular
11858,❤逛街方便❤曼谷市中心Asok站旁※近T21商场※无边泳池※韩国城※可做饭-612,Khlong Toei,13.73633,100.55932,Entire home/apt,3500,1,0,0.0,48,0,Short-Term,not_popular
11859,❤逛街便利❤曼谷市中心Asok站旁※近T21商场※无边泳池※韩国城※可做饭-742,Khlong Toei,13.73712,100.55741,Entire home/apt,3500,1,1,0.24,48,1,Short-Term,not_popular
11860,Gedkanokapartment,Bang Khen,13.89131,100.60783,Private room,500,1,0,0.0,11,0,Short-Term,not_popular
11861,Baan BT,Lat Krabang,13.71824,100.77841,Private room,750,1,2,2.0,1,2,Short-Term,popular
11862,Lovely- a private room at Sathorn location.,Thon buri,13.70163,100.47944,Private room,750,1,0,0.0,1,0,Short-Term,not_popular
11863,Quadruple/Family Room with Bathroom (Photohostel),Bang Rak,13.72307,100.51768,Private room,1890,1,1,0.09,2,1,Short-Term,not_popular
11864,"High building in Bangkok town , river side view",Khlong Toei,13.72435,100.56823,Entire home/apt,1136,2,2,0.75,5,2,Short-Term,not_popular
11865,Free wifi! 1BR at Noble Recole by Nestcovery 中文服務,Vadhana,13.74332,100.56134,Entire home/apt,980,30,2,0.83,9,2,Long-Term,not_popular
11866,Fabulous cozy1bdroom skypool Centralwld bigC,Ratchathewi,13.75003,100.54249,Entire home/apt,2586,30,8,0.66,23,8,Long-Term,not_popular
11867,Cozy 2-bedroom unit in the heart of Bangkok.,Yan na wa,13.70235,100.54503,Entire home/apt,1200,30,0,0.0,1,0,Long-Term,not_popular
11868,Room near BTS Bangchak,Phra Khanong,13.6977,100.60578,Private room,690,1,0,0.0,1,0,Short-Term,not_popular
11869,loft style condo with 1 bed and privated bathroom,Suanluang,13.74536,100.60498,Private room,1200,1,0,0.0,1,0,Short-Term,not_popular
11870,素坤逸小联排 BTS沿线 BT S15 分钟可到暹罗广场可停车,Phra Khanong,13.687258,100.616905,Entire home/apt,2229,1,3,0.23,39,2,Short-Term,not_popular
11871,Ladprao Suite - 38 sqm,Wang Thong Lang,13.78992,100.60079,Private room,587,30,0,0.0,20,0,Long-Term,not_popular
11872,Bangkok garden villa 有泳池，4卧室5卫生间，泰国网红别墅,Bang Phlat,13.801002,100.510857,Entire home/apt,5472,1,15,1.06,1,14,Short-Term,not_popular
11873,High Ceiling 1-Bedroom Condo in 33 sq.m,Phra Khanong,13.69327,100.60956,Entire home/apt,1200,30,0,0.0,2,0,Long-Term,not_popular
